in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
0.6,1,-1.2,0.073887,102.848111,dy_40.6_dx_01_dy_0-1.2.png
1.4,1,-1.2,0.124592,103.466303,dy_41.4_dx_01_dy_0-1.2.png
2.2,1,-1.2,0.134674,111.65891,dy_42.2_dx_01_dy_0-1.2.png
3,1,-1.2,0.09285,126.312799,dy_43_dx_01_dy_0-1.2.png
-1,-1,-0.4,0.136459,219.13712,dy_4-1_dx_0-1_dy_0-0.4.png
-0.2,-1,-0.4,0.158233,189.296443,dy_4-0.2_dx_0-1_dy_0-0.4.png
0.6,-1,-0.4,0.289061,162.702132,dy_40.6_dx_0-1_dy_0-0.4.png
1.4,-1,-0.4,0.76172,141.459559,dy_41.4_dx_0-1_dy_0-0.4.png
2.2,-1,-0.4,0.337685,141.712218,dy_42.2_dx_0-1_dy_0-0.4.png
3,-1,-0.4,0.157794,167.645009,dy_43_dx_0-1_dy_0-0.4.png
-1,-0.6,-0.4,0.120005,205.90545,dy_4-1_dx_0-0.6_dy_0-0.4.png
-0.2,-0.6,-0.4,0.12792,175.040183,dy_4-0.2_dx_0-0.6_dy_0-0.4.png
0.6,-0.6,-0.4,0.216078,147.499379,dy_40.6_dx_0-0.6_dy_0-0.4.png
1.4,-0.6,-0.4,0.715045,127.310678,dy_41.4_dx_0-0.6_dy_0-0.4.png
2.2,-0.6,-0.4,0.314797,128.988479,dy_42.2_dx_0-0.6_dy_0-0.4.png
3,-0.6,-0.4,0.131637,153.81911,dy_43_dx_0-0.6_dy_0-0.4.png
-1,-0.2,-0.4,0.109455,194.686853,dy_4-1_dx_0-0.2_dy_0-0.4.png
-0.2,-0.2,-0.4,0.1073,163.162188,dy_4-0.2_dx_0-0.2_dy_0-0.4.png
0.6,-0.2,-0.4,0.157702,135.104423,dy_40.6_dx_0-0.2_dy_0-0.4.png
1.4,-0.2,-0.4,0.634185,116.726112,dy_41.4_dx_0-0.2_dy_0-0.4.png
2.2,-0.2,-0.4,0.319393,120.093771,dy_42.2_dx_0-0.2_dy_0-0.4.png
3,-0.2,-0.4,0.116552,143.290281,dy_43_dx_0-0.2_dy_0-0.4.png
-1,0.2,-0.4,0.104952,185.579764,dy_4-1_dx_00.2_dy_0-0.4.png
-0.2,0.2,-0.4,0.097118,153.773104,dy_4-0.2_dx_00.2_dy_0-0.4.png
0.6,0.2,-0.4,0.122328,125.218309,dy_40.6_dx_00.2_dy_0-0.4.png
1.4,0.2,-0.4,0.49907,107.217985,dy_41.4_dx_00.2_dy_0-0.4.png
2.2,0.2,-0.4,0.359413,112.64993,dy_42.2_dx_00.2_dy_0-0.4.png
3,0.2,-0.4,0.114413,135.576827,dy_43_dx_00.2_dy_0-0.4.png
-1,0.6,-0.4,0.106556,178.639654,dy_4-1_dx_00.6_dy_0-0.4.png
-0.2,0.6,-0.4,0.097652,147.008348,dy_4-0.2_dx_00.6_dy_0-0.4.png
0.6,0.6,-0.4,0.114447,118.047401,dy_40.6_dx_00.6_dy_0-0.4.png
1.4,0.6,-0.4,0.367548,98.119462,dy_41.4_dx_00.6_dy_0-0.4.png
2.2,0.6,-0.4,0.429223,106.989992,dy_42.2_dx_00.6_dy_0-0.4.png
3,0.6,-0.4,0.126855,130.465461,dy_43_dx_00.6_dy_0-0.4.png
-1,1,-0.4,0.144823,147.09636,dy_4-1_dx_01_dy_0-0.4.png
-0.2,1,-0.4,0.13004,124.926778,dy_4-0.2_dx_01_dy_0-0.4.png
0.6,1,-0.4,0.144046,105.181512,dy_40.6_dx_01_dy_0-0.4.png
1.4,1,-0.4,0.387935,89.696334,dy_41.4_dx_01_dy_0-0.4.png
2.2,1,-0.4,0.513562,96.583263,dy_42.2_dx_01_dy_0-0.4.png
3,1,-0.4,0.172019,111.237152,dy_43_dx_01_dy_0-0.4.png
-1,-1,0.4,0.129531,233.372906,dy_4-1_dx_0-1_dy_00.4.png
-0.2,-1,0.4,0.126566,201.728073,dy_4-0.2_dx_0-1_dy_00.4.png
0.6,-1,0.4,0.149099,171.887395,dy_40.6_dx_0-1_dy_00.4.png
1.4,-1,0.4,0.286407,145.293084,dy_41.4_dx_0-1_dy_00.4.png
2.2,-1,0.4,0.744367,138.848202,dy_42.2_dx_0-1_dy_00.4.png
3,-1,0.4,0.336621,159.121265,dy_43_dx_0-1_dy_00.4.png
-1,-0.6,0.4,0.119646,221.071358,dy_4-1_dx_0-0.6_dy_00.4.png
-0.2,-0.6,0.4,0.111961,188.727922,dy_4-0.2_dx_0-0.6_dy_00.4.png
