in:dy_4,in:dx_0,in:dy_0,out:Displacement,out:Mass,img
-0.4,1,-1.2,0.131674,128.670741,dy_4-0.4_dx_01_dy_0-1.2.png
0.4,1,-1.2,0.15092,137.375265,dy_40.4_dx_01_dy_0-1.2.png
1.2,1,-1.2,0.087769,152.450911,dy_41.2_dx_01_dy_0-1.2.png
2,1,-1.2,0.068916,171.950054,dy_42_dx_01_dy_0-1.2.png
-2,-1,-0.4,0.086173,180.97768,dy_4-2_dx_0-1_dy_0-0.4.png
-1.2,-1,-0.4,0.145196,168.483804,dy_4-1.2_dx_0-1_dy_0-0.4.png
-0.4,-1,-0.4,0.247348,167.032758,dy_4-0.4_dx_0-1_dy_0-0.4.png
0.4,-1,-0.4,0.141443,176.926686,dy_40.4_dx_0-1_dy_0-0.4.png
1.2,-1,-0.4,0.070904,196.126516,dy_41.2_dx_0-1_dy_0-0.4.png
2,-1,-0.4,0.055035,221.378754,dy_42_dx_0-1_dy_0-0.4.png
-2,-0.6,-0.4,0.077808,165.239061,dy_4-2_dx_0-0.6_dy_0-0.4.png
-1.2,-0.6,-0.4,0.141283,152.347758,dy_4-1.2_dx_0-0.6_dy_0-0.4.png
-0.4,-0.6,-0.4,0.185757,151.946735,dy_4-0.4_dx_0-0.6_dy_0-0.4.png
0.4,-0.6,-0.4,0.119561,163.295751,dy_40.4_dx_0-0.6_dy_0-0.4.png
1.2,-0.6,-0.4,0.067304,183.693096,dy_41.2_dx_0-0.6_dy_0-0.4.png
2,-0.6,-0.4,0.053981,209.824897,dy_42_dx_0-0.6_dy_0-0.4.png
-2,-0.2,-0.4,0.063749,151.948768,dy_4-2_dx_0-0.2_dy_0-0.4.png
-1.2,-0.2,-0.4,0.132694,138.432065,dy_4-1.2_dx_0-0.2_dy_0-0.4.png
-0.4,-0.2,-0.4,0.138814,139.579418,dy_4-0.4_dx_0-0.2_dy_0-0.4.png
0.4,-0.2,-0.4,0.106884,152.664077,dy_40.4_dx_0-0.2_dy_0-0.4.png
1.2,-0.2,-0.4,0.066312,174.273197,dy_41.2_dx_0-0.2_dy_0-0.4.png
2,-0.2,-0.4,0.05445,201.214425,dy_42_dx_0-0.2_dy_0-0.4.png
